Company,Company Score,Job Title,Location,Date,Salary,City,state,Remote,LowerSalary,UpperSalary,Mid_Salary,Group_job,Salary_Range,Company_Score_Group
ViewSoft,4.8,software engineer,"manassas, va",8d,$68K - $94K (Glassdoor est.),Manassas, VA,No,68.0,94.0,81.0,Software_En,50-100,สูง(>3.5-5]
Workiva,4.3,software support engineer,remote,2d,$61K - $104K (Employer est.),Remote,Unknow,Yes,61.0,104.0,82.5,Software_En,50-100,กลาง(>2-3.5]
"Garmin International, Inc.",3.9,c# software engineer,"cary, nc",2d,$95K - $118K (Glassdoor est.),Cary, NC,No,95.0,118.0,106.5,Software_En,101-150,กลาง(>2-3.5]
Snapchat,3.5,"software engineer, fullstack, 1+ years of experience","los angeles, ca",2d,$97K - $145K (Employer est.),Los Angeles, CA,No,97.0,145.0,121.0,Software_En,101-150,กลาง(>2-3.5]
Vitesco Technologies Group AG,3.1,software engineer,"seguin, tx",2d,$85K - $108K (Glassdoor est.),Seguin, TX,No,85.0,108.0,96.5,Software_En,50-100,ต่ำ(0-2]
Spotify,3.9,backend engineer ii,"new york, ny",1d,$123K - $175K (Employer est.),New York, NY,No,123.0,175.0,149.0,Other,101-150,กลาง(>2-3.5]
Infor,4.0,associate software engineer,"alpharetta, ga",7d,$77K - $94K (Glassdoor est.),Alpharetta, GA,No,77.0,94.0,85.5,Software_En,50-100,กลาง(>2-3.5]
Amerisoft Corporation,5.0,software developers,"farmington hills, mi",30d+,$71K - $100K (Glassdoor est.),Farmington Hills, MI,No,71.0,100.0,85.5,Software_En,50-100,สูง(>3.5-5]
WHOOP,3.3,"software engineer ii (backend, health)","boston, ma",10d,$94K - $148K (Glassdoor est.),Boston, MA,No,94.0,148.0,121.0,Software_En,101-150,ต่ำ(0-2]
PFF,4.2,sr. software engineer,remote,1d,$147K - $189K (Employer est.),Remote,Unknow,Yes,147.0,189.0,168.0,Software_En,151-200,กลาง(>2-3.5]
Salesforce,4.1,mts software engineer,"san francisco, ca",5d,$90K - $113K (Employer est.),San Francisco, CA,No,90.0,113.0,101.5,Software_En,101-150,กลาง(>2-3.5]
"HealthMine Services, Inc.",3.8,software engineer,remote,1d,$54K - $79K (Glassdoor est.),Remote,Unknow,Yes,54.0,79.0,66.5,Software_En,50-100,กลาง(>2-3.5]
Honeywell,4.1,software engineer i,"aguadilla, pr",2d,$91K - $135K (Glassdoor est.),Aguadilla, PR,No,91.0,135.0,113.0,Software_En,101-150,กลาง(>2-3.5]
Legrand AV,3.7,software engineer,minneapolis-saint paul,2d,$70K - $135K (Employer est.),Minneapolis-Saint Paul,Unknow,No,70.0,135.0,102.5,Software_En,101-150,กลาง(>2-3.5]
Athenahealth,4.0,"software engineer, athenacollector – rcm rules","boston, ma",2d,$192K - $288K (Employer est.),Boston, MA,No,192.0,288.0,240.0,Software_En,201-250,กลาง(>2-3.5]
Amex,4.1,java engineer,"plantation, fl",6d,$100K - $125K (Employer est.),Plantation, FL,No,100.0,125.0,112.5,Other,101-150,กลาง(>2-3.5]
SOFT LABS NA,5.0,entry level to senior level software developers,"northborough, ma",30d+,$85K - $127K (Glassdoor est.),Northborough, MA,No,85.0,127.0,106.0,Software_En,101-150,สูง(>3.5-5]
Snapchat,3.5,"software engineer, c++","los angeles, ca",2d,$69K - $109K (Glassdoor est.),Los Angeles, CA,No,69.0,109.0,89.0,Software_En,50-100,กลาง(>2-3.5]
Hertz,3.2,software engineer,"seattle, wa",2d,$124K - $234K (Employer est.),Seattle, WA,No,124.0,234.0,179.0,Software_En,151-200,ต่ำ(0-2]
Megaport,3.4,frontend software engineer,,2d,$84K - $133K (Glassdoor est.),Unknow,Unknow,No,84.0,133.0,108.5,Software_En,101-150,ต่ำ(0-2]
"7-Eleven, Inc.",3.4,software engineer,"irving, tx",1d,$85K - $150K (Employer est.),Irving, TX,No,85.0,150.0,117.5,Software_En,101-150,ต่ำ(0-2]
"Summit Technologies, Inc.",4.2,software engineer,"springfield, ma",10d,$48K - $89K (Glassdoor est.),Springfield, MA,No,48.0,89.0,68.5,Software_En,50-100,กลาง(>2-3.5]
Adobe,2.9,software development engineer,"san jose, ca",10d,$66K - $97K (Glassdoor est.),San Jose, CA,No,66.0,97.0,81.5,Software_En,50-100,ต่ำ(0-2]
The MITRE Corporation,4.0,associate software engineer,"bedford, ma",2d,$108K - $199K (Employer est.),Bedford, MA,No,108.0,199.0,153.5,Software_En,151-200,กลาง(>2-3.5]
Boston Children's Hospital,4.1,software engineer - ha (hybrid),"boston, ma",30d+,$102K - $173K (Employer est.),Boston, MA,No,102.0,173.0,137.5,Software_En,101-150,กลาง(>2-3.5]
Amex,3.2,engineer - react/javascript,"sunrise, fl",5d,$124K - $142K (Employer est.),Sunrise, FL,No,124.0,142.0,133.0,Other,101-150,ต่ำ(0-2]
Ahold Delhaize USA,4.0,software engineer - martech,"carlisle, pa",2d,$94K - $133K (Glassdoor est.),Carlisle, PA,No,94.0,133.0,113.5,Software_En,101-150,กลาง(>2-3.5]
Artera Technologies,4.2,software engineers,"annapolis junction, md",6d,$70K - $116K (Glassdoor est.),Annapolis Junction, MD,No,70.0,116.0,93.0,Software_En,50-100,กลาง(>2-3.5]
Adobe,4.3,software engineer,"lehi, ut",13d,$142K - $178K (Employer est.),Lehi, UT,No,142.0,178.0,160.0,Software_En,151-200,กลาง(>2-3.5]
